,num_goals,branch,time,branch_train,score,episode_length
837,8,[1],20,"[4, 4, 4, 4]",4.386,15
836,8,[1],20,"[4, 4, 4, 4]",9.366,14
835,8,[1],20,"[4, 4, 4, 4]",4.4642,16
834,8,[1],20,"[4, 4, 4, 4]",-1.50604,13
833,8,[1],20,"[4, 4, 4, 4]",4.481999999999999,17
832,8,[1],20,"[4, 4, 4, 4]",6.504,16
831,8,[1],20,"[4, 4, 4, 4]",9.388,14
830,8,[1],20,"[4, 4, 4, 4]",2.306,16
829,8,[1],20,"[4, 4, 4, 4]",7.13218,11
828,8,[1],20,"[4, 4, 4, 4]",0.0999999999999997,19
804,8,[1],20,"[4, 4, 4, 4]",8.804000000000002,17
154,8,[1],20,"[4, 4, 4]",5.005999999999999,16
151,8,[1],20,"[4, 4, 4]",11.549980000000001,12
179,8,[1],20,"[4, 4, 4]",9.382,17
177,8,[1],20,"[4, 4, 4]",4.9879999999999995,14
176,8,[1],20,"[4, 4, 4]",4.97198,12
175,8,[1],20,"[4, 4, 4]",6.24798,13
174,8,[1],20,"[4, 4, 4]",9.386000000000001,15
173,8,[1],20,"[4, 4, 4]",9.565999999999999,13
172,8,[1],20,"[4, 4, 4]",7.148,12
171,8,[1],20,"[4, 4, 4]",9.588000000000003,13
170,8,[1],20,"[4, 4, 4]",9.591980000000001,12
169,8,[1],20,"[4, 4, 4]",7.385999999999999,14
168,8,[1],20,"[4, 4, 4]",9.348,12
167,8,[1],20,"[4, 4, 4]",11.52798,12
166,8,[1],20,"[4, 4, 4]",9.58998,13
165,8,[1],20,"[4, 4, 4]",6.001999999999999,18
164,8,[1],20,"[4, 4, 4]",11.569980000000001,13
163,8,[1],20,"[4, 4, 4]",7.1659999999999995,14
162,8,[1],20,"[4, 4, 4]",7.150000000000001,11
160,8,[1],20,"[4, 4, 4]",7.386000000000001,14
159,8,[1],20,"[4, 4, 4]",9.346,13
158,8,[1],20,"[4, 4, 4]",9.368000000000002,13
157,8,[1],20,"[4, 4, 4]",7.15,11
156,8,[1],20,"[4, 4, 4]",11.4664,11
178,8,[1],20,"[4, 4, 4]",9.566,13
161,8,[1],20,"[4, 4, 4]",7.351980000000001,10
180,8,[1],20,"[4, 4, 4]",2.1741799999999993,12
192,8,[1],20,"[4, 4, 4]",9.569980000000001,12
181,8,[1],20,"[4, 4, 4]",7.170000000000001,12
153,8,[1],20,"[4, 4, 4]",9.586000000000002,14
152,8,[1],20,"[4, 4, 4]",11.530180000000001,12
198,8,[1],20,"[4, 4, 4]",9.386000000000001,15
197,8,[1],20,"[4, 4, 4]",7.409999999999999,13
196,8,[1],20,"[4, 4, 4]",7.204,17
195,8,[1],20,"[4, 4, 4]",2.97398,10
194,8,[1],20,"[4, 4, 4]",7.168,13
193,8,[1],20,"[4, 4, 4]",0.7060000000000003,16
199,8,[1],20,"[4, 4, 4]",7.391979999999999,12
191,8,[1],20,"[4, 4, 4]",7.165999999999999,14
186,8,[1],20,"[4, 4, 4]",7.143999999999999,14
190,8,[1],20,"[4, 4, 4]",9.38998,14
183,8,[1],20,"[4, 4, 4]",7.20998,15
182,8,[1],20,"[4, 4, 4]",9.369980000000002,13
185,8,[1],20,"[4, 4, 4]",11.76998,12
184,8,[1],20,"[4, 4, 4]",7.3719800000000015,11
187,8,[1],20,"[4, 4, 4]",8.485999999999999,15
188,8,[1],20,"[4, 4, 4]",9.088000000000001,14
189,8,[1],20,"[4, 4, 4]",9.406000000000002,16
506,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",9.348,12
505,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",9.350200000000001,12
504,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",9.386000000000003,15
503,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",11.490179999999999,10
502,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",11.566,14
501,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",7.188000000000001,14
500,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",9.606000000000002,15
1198,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",4.97,12
1194,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",1.3119799999999997,14
1197,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",9.308399999999999,12
1196,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",-3.0358000000000005,16
1195,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",9.282000000000004,16
1193,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",7.168,13
1192,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",9.584000000000001,15
1191,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",-3.298,18
508,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",9.782,15
1190,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",1.4859999999999998,14
507,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",9.564,14
519,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",4.628,11
509,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",11.564000000000002,15
520,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",9.57218,12
1188,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",9.41196,15
526,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",11.586000000000002,15
525,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",11.766000000000002,13
524,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",7.128,11
523,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",9.408000000000001,15
522,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",9.366000000000003,14
521,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",2.8099999999999987,14
518,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",9.412,13
510,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",4.985999999999999,15
517,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",7.167999999999998,13
516,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",9.3662,15
515,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",9.368000000000002,13
514,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",11.528200000000002,12
513,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",9.544,13
512,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",9.388000000000002,14
511,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",9.409980000000001,15
1189,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",-0.19600000000000034,17
1164,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",-1.7900200000000006,15
1187,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",2.801999999999999,18
1158,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",5.2120000000000015,12
1165,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",4.663999999999999,15
528,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",9.590000000000003,12
1163,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",1.4859999999999989,14
1162,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",2.78,18
1161,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",2.789999999999999,13
1160,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",-1.6179999999999999,17
1159,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",8.486,15
1157,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",3.6439999999999997,13
1186,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",7.391980000000001,12
1156,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",1.6079999999999992,15
1155,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",-1.3999999999999997,18
1154,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",4.99,13
1153,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",4.61,13
1152,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",5.183999999999998,15
1151,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",-1.4000000000000001,19
1150,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",7.387999999999999,13
1166,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",5.3462,14
1167,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",5.403999999999999,17
1168,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",-3.2960000000000003,17
1169,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",7.88798,15
1185,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",9.065999999999999,14
1184,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",9.344,14
1183,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",2.793979999999999,12
1182,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",2.1899999999999995,13
1181,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",5.011999999999999,13
1180,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",-0.5179999999999998,17
1179,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",3.0159800000000003,11
1177,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",2.8619999999999997,16
1176,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",4.405999999999998,16
1175,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",-8.398,17
1174,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",-0.7980000000000003,18
1173,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",2.844,14
1172,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",9.087980000000002,15
1171,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",7.391980000000001,12
1170,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",9.766000000000002,12
527,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",7.367999999999999,12
1178,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",2.864,15
529,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",9.406000000000002,16
541,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",11.609980000000002,15
530,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",9.564,14
1199,8,"[1, 4, 4, 4]",20,"[4, 4, 4, 4]",11.204199999999998,13
549,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",9.364000000000003,15
547,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",11.564000000000002,15
546,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",9.369980000000002,13
545,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",4.6521799999999995,12
544,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",7.184000000000002,16
543,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",9.526200000000001,12
542,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",7.388,13
548,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",9.328199999999999,12
540,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",11.60998,15
534,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",5.384,16
539,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",11.526200000000003,13
531,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",9.328200000000002,12
532,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",11.591980000000001,13
533,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",11.766200000000001,14
535,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",9.386000000000003,15
536,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",5.005999999999999,16
537,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",9.3462,14
538,8,"[1, 4, 4, 4]",20,"[4, 4, 4]",9.348,12
895,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",2.4919999999999987,12
201,8,"[1, 1, 1]",20,"[4, 4, 4]",5.168,12
896,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",2.8079799999999997,16
897,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",7.145999999999999,13
898,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",7.19198,13
899,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",0.5819999999999997,16
200,8,"[1, 1, 1]",20,"[4, 4, 4]",7.209980000000002,15
206,8,"[1, 1, 1]",20,"[4, 4, 4]",7.209979999999999,15
202,8,"[1, 1, 1]",20,"[4, 4, 4]",2.813999999999999,12
203,8,"[1, 1, 1]",20,"[4, 4, 4]",11.564000000000002,15
204,8,"[1, 1, 1]",20,"[4, 4, 4]",9.38798,15
205,8,"[1, 1, 1]",20,"[4, 4, 4]",9.41,14
207,8,"[1, 1, 1]",20,"[4, 4, 4]",5.211979999999999,13
208,8,"[1, 1, 1]",20,"[4, 4, 4]",7.185999999999999,15
209,8,"[1, 1, 1]",20,"[4, 4, 4]",9.39,13
893,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",9.366,14
894,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",7.366,13
882,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",-0.8860200000000007,13
892,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",9.5062,11
211,8,"[1, 1, 1]",20,"[4, 4, 4]",11.568200000000001,14
876,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",7.186,15
877,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",7.187999999999999,14
878,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",7.148000000000001,12
879,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",7.1262,13
880,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",7.168,13
881,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",7.15198,11
883,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",9.60998,14
891,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",5.364,15
884,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",2.211999999999999,13
885,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",-5.215999999999999,16
886,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",5.345999999999999,11
887,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",5.3659799999999995,15
889,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",8.950180000000001,12
890,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",9.408000000000001,15
210,8,"[1, 1, 1]",20,"[4, 4, 4]",11.5262,13
222,8,"[1, 1, 1]",20,"[4, 4, 4]",11.524000000000001,13
212,8,"[1, 1, 1]",20,"[4, 4, 4]",3.7859999999999996,15
231,8,"[1, 1, 1]",20,"[4, 4, 4]",9.366000000000001,14
233,8,"[1, 1, 1]",20,"[4, 4, 4]",9.364000000000004,15
234,8,"[1, 1, 1]",20,"[4, 4, 4]",9.389980000000001,14
235,8,"[1, 1, 1]",20,"[4, 4, 4]",9.386000000000003,15
236,8,"[1, 1, 1]",20,"[4, 4, 4]",11.5282,12
237,8,"[1, 1, 1]",20,"[4, 4, 4]",9.3282,12
238,8,"[1, 1, 1]",20,"[4, 4, 4]",9.29438,9
239,8,"[1, 1, 1]",20,"[4, 4, 4]",7.385999999999999,14
240,8,"[1, 1, 1]",20,"[4, 4, 4]",11.804000000000002,16
241,8,"[1, 1, 1]",20,"[4, 4, 4]",9.406000000000004,16
242,8,"[1, 1, 1]",20,"[4, 4, 4]",9.78798,13
243,8,"[1, 1, 1]",20,"[4, 4, 4]",9.364,15
244,8,"[1, 1, 1]",20,"[4, 4, 4]",3.3840000000000003,15
245,8,"[1, 1, 1]",20,"[4, 4, 4]",7.1702,13
246,8,"[1, 1, 1]",20,"[4, 4, 4]",9.34998,12
247,8,"[1, 1, 1]",20,"[4, 4, 4]",9.3462,14
232,8,"[1, 1, 1]",20,"[4, 4, 4]",9.3282,12
230,8,"[1, 1, 1]",20,"[4, 4, 4]",7.1499999999999995,11
213,8,"[1, 1, 1]",20,"[4, 4, 4]",2.5,18
229,8,"[1, 1, 1]",20,"[4, 4, 4]",4.99398,12
214,8,"[1, 1, 1]",20,"[4, 4, 4]",9.346,13
215,8,"[1, 1, 1]",20,"[4, 4, 4]",9.566000000000003,13
216,8,"[1, 1, 1]",20,"[4, 4, 4]",9.564,14
217,8,"[1, 1, 1]",20,"[4, 4, 4]",9.390000000000002,13
218,8,"[1, 1, 1]",20,"[4, 4, 4]",9.368200000000002,14
219,8,"[1, 1, 1]",20,"[4, 4, 4]",9.346,13
220,8,"[1, 1, 1]",20,"[4, 4, 4]",2.761999999999999,16
221,8,"[1, 1, 1]",20,"[4, 4, 4]",9.386,15
874,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",7.110200000000001,10
223,8,"[1, 1, 1]",20,"[4, 4, 4]",11.588000000000001,14
224,8,"[1, 1, 1]",20,"[4, 4, 4]",11.564,15
225,8,"[1, 1, 1]",20,"[4, 4, 4]",7.189980000000001,14
226,8,"[1, 1, 1]",20,"[4, 4, 4]",7.1682,14
227,8,"[1, 1, 1]",20,"[4, 4, 4]",9.39,13
228,8,"[1, 1, 1]",20,"[4, 4, 4]",2.769999999999999,12
875,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",8.644200000000001,14
888,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",2.784,15
873,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",5.1719800000000005,11
859,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",4.0721799999999995,13
249,8,"[1, 1, 1]",20,"[4, 4, 4]",7.188,14
872,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",9.086,15
850,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",11.60998,15
851,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",9.246,12
852,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",9.388,14
853,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",4.688000000000001,14
854,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",9.370000000000001,12
855,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",9.366000000000001,14
856,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",3.48998,14
857,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",7.148000000000001,12
858,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",2.761999999999999,16
248,8,"[1, 1, 1]",20,"[4, 4, 4]",11.562000000000003,16
860,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",-1.2140000000000004,15
867,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",7.166,14
870,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",11.526200000000003,13
861,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",4.707999999999998,15
869,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",7.207999999999999,15
868,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",7.151979999999999,11
871,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",7.168,13
866,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",5.009979999999999,15
865,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",7.306000000000001,10
864,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",5.168,12
863,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",9.368000000000002,13
862,8,"[1, 1, 1]",20,"[4, 4, 4, 4]",4.666,14
1225,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",5.170000000000001,11
1234,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",-1.7199999999999998,18
1226,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",7.822000000000002,14
1227,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",2.906,16
1228,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",8.79198,13
1229,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",1.8659799999999989,15
1230,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",11.585999999999999,15
1231,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",4.99398,12
1232,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",4.991999999999999,12
1233,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",-3.6000000000000005,19
1238,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",9.348200000000002,13
1235,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",11.565999999999999,14
1236,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",0.8839999999999998,15
1237,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",-0.7140000000000004,14
1223,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",2.515979999999999,12
1239,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",8.984000000000002,15
1240,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",7.388,13
1241,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",0.9879999999999997,14
1242,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",-4.398,17
1243,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",9.388,14
1244,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",11.724,12
1224,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",4.99398,12
1220,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",7.3660000000000005,13
1222,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",4.69398,12
1210,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",0.8119999999999991,12
1200,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",7.171980000000001,12
1201,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",7.19,13
1202,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",7.1959599999999995,12
1203,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",4.932199999999999,10
1204,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",-6.398,18
1205,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",7.366,13
1206,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",8.766000000000002,14
1207,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",9.488400000000002,10
1208,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",5.191979999999999,12
1209,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",3.73416,11
1211,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",-9.0,18
1221,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",7.193980000000001,12
1212,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",5.182,16
1213,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",0.3839999999999996,16
1214,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",7.21,14
1215,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",-0.8400000000000001,17
1216,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",7.403999999999999,16
1217,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",0.21199999999999924,12
1218,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",-3.6180000000000003,17
1219,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",-7.698,18
1246,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",11.548180000000002,14
1298,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",-5.818,17
1245,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",-8.597999999999999,18
1292,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",-5.7880798,16
1297,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",-5.298,17
1258,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",5.402,18
1268,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",-3.62,18
1267,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",7.130200000000001,11
1266,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",9.58998,13
1265,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",7.170000000000001,12
1264,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",7.186000000000001,15
1263,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",9.386000000000003,15
1262,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",3.644000000000001,13
1261,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",-1.9860000000000009,11
1260,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",4.989999999999999,13
1259,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",4.967979999999999,14
1257,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",4.96998,13
1296,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",9.60998,14
1256,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",11.582000000000004,17
1255,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",6.1,19
1254,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",9.565999999999999,13
1253,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",9.350200000000001,12
1252,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",5.012000000000001,13
1251,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",-3.6900000000000004,14
1250,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",1.164,14
1249,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",2.191979999999999,13
1247,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",-3.12,17
1248,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",-1.8338000000000005,15
1269,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",8.94798,12
1270,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",1.2079999999999997,14
1271,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",2.4919999999999995,12
1272,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",-4.6000000000000005,19
1295,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",2.305979999999999,17
1294,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",4.956180000000001,10
1293,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",0.34420000000000023,15
1291,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",-1.7880200000000004,14
1290,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",1.911979999999999,14
1289,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",1.7679999999999998,12
1288,8,"[1, 1, 1, 4, 4, 4]",20,"[4, 4, 4, 4]",7.368000000000001,12
